Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References,Compilation_Source,,UTM_Zone,UTM_Easting,UTM_Northing,Comment,Tectonic_Unit
Cabonga,916,30,30,K/Ar,Metamorphic,Reported as 889 Ma to non-Old Western (modified) decay constants; recalculated to 1977 (IUGS) decay constants. Replicate analysis 2 of 2.,Biotite,Ar Furnace-Fusion,Direct,Grenville Province,QC,47.15007,-76.49968,Cabonga area. Coordinates approximate.,Autochthonous polycyclic belt - Cabonga syenite,Plutonic,"nepheline gneiss from small lenticular body: composed of nepheline, plagioclase, biotite, corundum and muscovite","MacIntyre, R.M., York, D. and Gittins, J., 1969. The K-Ar characteristics of nepheline; Earth and Planetary Science Letters, v. 7, p. 125-131",GSCdatabase,,,,,,
WN-8-67,1709,60,60,K/Ar,Metamorphic,"The age is listed in compilation table, given as pers. comm from Wanless. No accompanying analytical data or description of concentrate; cannot assess reliability nor determine if the age requires recalibration.",Biotite,Ar Furnace-Fusion,Estimate,Grenville Province,QC,47.76536,-77.38166,"SE of Val d'Or, at Grenville Front",Grenville Front Tectonic Zone - unknown,Plutonic,granodiorite,"Stockwell, C.H., 1982. Proposals for time classification and correlation of Precambrian rocks and events in Canada and adjacent areas of the Canadian Shield. Part 1: A time classification of Precambrian rocks and events; Geological Survey of Canada, Paper 80-19, p. 135",GSCdatabase,,,,,,
Cabonga,925,30,30,K/Ar,Metamorphic,Reported as 898 Ma to non-Old Western (modified) decay constants; recalculated to 1977 (IUGS) decay constants. Replicate analysis 1 of 2.,Biotite,Ar Furnace-Fusion,Direct,Grenville Province,QC,47.15007,-76.49968,Cabonga area. Coordinates approximate.,Autochthonous polycyclic belt - Cabonga syenite,Plutonic,"nepheline gneiss from small lenticular body: composed of nepheline, plagioclase, biotite, corundum and muscovite","MacIntyre, R.M., York, D. and Gittins, J., 1969. The K-Ar characteristics of nepheline; Earth and Planetary Science Letters, v. 7, p. 125-131",GSCdatabase,,,,,,
33 Actinolite,1035,30,30,K/Ar,Metamorphic,Reported as 1006 Ma to old (non-Western) decay constants; recalibrated to IUGS (1977) decay constants.,Biotite,Ar Furnace-Fusion,Direct,Grenville Province,ON,44.53339,-77.33306,Near Actinolite. Coordinates approximated from poorly datumed sketch map in report (by OGS compilers - very approximate),Mazinaw terrane - unknown,Metamorphic,mafic biotite gneiss,"MacIntyre, R.M., York, D. and Moorehouse, W.W., 1967. Potassium-argon age determinations in the Madoc-Bancroft area in the Grenville Province of the Canadian Shield; Canadian Journal of Earth Sciences, v. 4, p. 815-828",GSCdatabase,,,,,,
SH-58-62,1432,50,50,K/Ar,Metamorphic,Reported as 1425 Ma; recalibrated to IUGS (1977) decay constants. Chlorite content = 8% (bit high). Correction for atmospheric argon problematic. Age is inconsistent with younger muscovite-pair.,Biotite,Ar Furnace-Fusion,Estimate,Grenville Province,QC,49.54729,-74.19124,Railway cut just west of Chibougamau Highway,unknown,Metamorphic,medium-grained granitic gneiss,"Wanless, R.K., Stevens, R.D., Lachance, G.R. and Rimsaite, J.Y.H., 1965. Isotopic Ages - Report 5; Age determinations and geological studies, Part 1 - Isotopic ages, Report 5. Geological Survey of Canada, Paper 64-17, p. 11-126 OR/OU Wanless, R.K., Stevens, R.D., Lachance, G.R. and Rimsaite, J.Y.H., 1966. K-Ar isotopic ages, Report 6; Age determinations and geological studies, Geological Survey of Canada, Paper 65-17, p. 7-101",GSCdatabase,,,,,,
SH-55-62,1324,75,75,K/Ar,Metamorphic,Reported as 1315 Ma; recalibrated to IUGS (1977) decay constants. Chlorite content = 5%. Correction for atmospheric argon problematic. Age is inconsistent younger with muscovite-pair.,Biotite,Ar Furnace-Fusion,Estimate,Grenville Province,QC,49.58757,-74.25929,"Road cut on Chibougamau Highway, approx. 950 m NW of a bridge over the narrows in Lac Dufresne",unknown,Metamorphic,"medium-grained grey paraschist, derived from arkose","Leech, G.B., Lowdon, J.A., Stockwell, C.H. and Wanless, R.K., 1963. Age determinations by the Geological Survey of Canada, Report 4, isotopic ages; Geological Survey of Canada, Paper 63-17, p. 1-121 OR/OU Wanless, R.K., Stevens, R.D., Lachance, G.R. and Rimsaite, J.Y.H., 1966. K-Ar isotopic ages, Report 6; Age determinations and geological studies, Geological Survey of Canada, Paper 65-17, p. 7-101",GSCdatabase,,,,,,
SG-256-68,1160,40,40,K/Ar,Metamorphic,"Reported as 1150 Ma; recalibrated to IUGS (1977) decay constants. Chlorite content =10%, hornblende=5% (bit high; age suspect)",Biotite,Ar Furnace-Fusion,Estimate,Grenville Province,NL,54.40008,-59.56574,"Approx. 13 km S of White Bear Lake, Labrador",Groswater Bay terrane - unknown,Metamorphic,"coarse, dark foliated biotite-rich paragneiss cut by numerous quartz stringers","Wanless, R.K., Stevens, R.D., Lachance, G.R. and Delabio, R.N., 1972. Age determinations and geological studies, K-Ar isotopic ages, report 10; Geological Survey of Canada, Paper 71-2, p. 1-96",GSCdatabase,,,,,,
FA-12-59,1136,65,65,K/Ar,Metamorphic,Reported as 1125 Ma; recalibrated to IUGS (1977) decay constants. Correction for atmospheric argon problematic. Chlorite content = not detected. Older than muscovite age.,Biotite,Ar Furnace-Fusion,Estimate,Grenville Province,NL,53.08341,-66.74934,"East of Wabash Lake, Labrador",unknown,Metamorphic,grey and white-weathering migmatite gneiss,"Lowdon, J.A., 1961. Part I - Geological age determinations; Age determinations by the Geological Survey of Canada, Report 2, Isotopic ages; Geological Survey of Canada Paper 61-17, p. 5-86",GSCdatabase,,,,,,
SG-58-68,1175,40,40,K/Ar,Metamorphic,"Reported as 1165 Ma; recalibrated to IUGS (1977) decay constants. Concentrate = ""clean ... no significant impurities""",Biotite,Ar Furnace-Fusion,Direct,Grenville Province,NL,54.40006,-58.0157,"Approx. 3.2 km N of Groswater Bay, Labrador",Groswater Bay terrane - unknown,Metamorphic,gneiss,"Wanless, R.K., Stevens, R.D., Lachance, G.R. and Delabio, R.N., 1972. Age determinations and geological studies, K-Ar isotopic ages, report 10; Geological Survey of Canada, Paper 71-2, p. 1-96",GSCdatabase,,,,,,
EC-63-490,1055,40,40,K/Ar,Metamorphic,"Reported as 1045 Ma; recalibrated to IUGS (1977) decay constants. Correction for atmospheric argon possibly problematic (99%). Concntrate = ""Relatively clean""; chlorite content not reported.",Biotite,Ar Furnace-Fusion,Direct,Grenville Province,NL,53.55425,-64.14921,"South shore of Mt. Hyde Lake, 10 km west - northwest of Churchill Falls townsite (or 13 km ESE of Churchill Falls), Labrador",Trans-Labrador batholith - unknown,Plutonic,pink and white granite (or quartz monzonite) with well-defined gneissosity caused by narrow concentrations of mafic minerals.,"Wanless, R.K., Stevens, R.D., Lachance, G.R. and Edmonds, C.M., 1968. K-Ar isotopic ages, Report 8; Age determinations and geological studies, Geological Survey of Canada, Paper 67-2A, p. 11-141",GSCdatabase,,,,,,
7 KLG,976,15,15,Ar/Ar,Metamorphic,"Reported as 970 Ma; recalculated to MMhb-1=523.1 (Renne et al, 1998) from MMhb-1=519.4 (Alexander, 1978). Plateau age (98.3% gas release).",Biotite,Ar Furnace-Step,Direct,Grenville Province,NL,53.19758,-66.6235,"West shore of Shabogamo Lake, Labrador",Gagnon terrane - Knob Lake Group,Metamorphic,"metasedimentary schist, garnet zone","Dallmeyer, R.D. and Rivers, T., 1983. Recognition of extraneous argon components through incremental-release 40Ar/39Ar analysis of biotite and hornblende across the Grenvillian metamorphic gradient in southwestern Labrador.; Geochimica et Cosmochimica Acta, v. 47, p. 413-428",GSCdatabase,,,,,,
24 KLG,996,14,14,Ar/Ar,Metamorphic,"Reported as 990 Ma; recalculated to MMhb-1=523.1 (Renne et al, 1998) from MMhb-1=519.4 (Alexander, 1978). Plateau age (95.9% gas release).",Biotite,Ar Furnace-Step,Direct,Grenville Province,NL,52.65451,-66.64575,"West of Opocopa Lake, Labrador",Gagnon terrane - Knob Lake Group,Metamorphic,"schist, kyanite zone","Dallmeyer, R.D. and Rivers, T., 1983. Recognition of extraneous argon components through incremental-release 40Ar/39Ar analysis of biotite and hornblende across the Grenvillian metamorphic gradient in southwestern Labrador.; Geochimica et Cosmochimica Acta, v. 47, p. 413-428",GSCdatabase,,,,,,
28 KLG,944,15,15,Ar/Ar,Metamorphic,"Reported as 938 Ma; recalculated to MMhb-1=523.1 (Renne et al, 1998) from MMhb-1=519.4 (Alexander, 1978). Plateau age (96.0% gas release)",Biotite,Ar Furnace-Step,Direct,Grenville Province,NL,52.40451,-66.82746,"South of Lac Gentilhomme, Labrador",Gagnon terrane - Knob Lake Group,Metamorphic,"schist, kyanite zone","Dallmeyer, R.D. and Rivers, T., 1983. Recognition of extraneous argon components through incremental-release 40Ar/39Ar analysis of biotite and hornblende across the Grenvillian metamorphic gradient in southwestern Labrador.; Geochimica et Cosmochimica Acta, v. 47, p. 413-428",GSCdatabase,,,,,,
21 KLG,954,16,16,Ar/Ar,Metamorphic,"Reported as 948 Ma; recalculated to MMhb-1=523.1 (Renne et al, 1998) from MMhb-1=519.4 (Alexander, 1978). Plateau age (93.7% gas release).",Biotite,Ar Furnace-Step,Direct,Grenville Province,NL,52.72618,-66.88159,"8 km north of Lac Gentilhomme, Labrador",Gagnon terrane - Knob Lake Group,Metamorphic,"quartzofeldspathic schist and gneiss, kyanite zone","Dallmeyer, R.D. and Rivers, T., 1983. Recognition of extraneous argon components through incremental-release 40Ar/39Ar analysis of biotite and hornblende across the Grenvillian metamorphic gradient in southwestern Labrador.; Geochimica et Cosmochimica Acta, v. 47, p. 413-428",GSCdatabase,,,,,,
Sample No.16,955,34,34,K/Ar,Metamorphic,"Concentrate = ""relatively clean ... <2% hornblende contamination"".",Biotite,Ar Furnace-Fusion,Direct,Grenville Province,NL,53.03341,-66.98269,"S of Carol Lake, Labrador",unnamed,Metamorphic,"hornblende-biotite schist, with garnet","Stevens, R.D., Delabio, R.N. and Lachance, G.R., 1982. Age determinations and geological studies, K-Ar isotopic ages, Report 15; Geological Survey of Canada, Paper 81-2, p. 1-56",GSCdatabase,,,,,,
SG-118-65,961,34,34,K/Ar,Metamorphic,"Reported as 950 Ma; recalibrated to IUGS (1977) decay constants. Concentrate = ""unaltered...~5% hornblende impurity"".",Biotite,Ar Furnace-Fusion,Direct,Grenville Province,NL,53.10008,-60.6658,"Western Mealy Mountains, 15 km south of Churchill River, W of Goose Bay, Labrador",Mealy Mountains terrane - Mealy Mountains intrusive suite,Plutonic,dark medium-grained massive diorite / metagabbro,"Wanless, R.K., Stevens, R.D., Lachance, G.R. and Delabio, R.N., 1970. K-Ar isotopic ages, Report 9; Age determinations and geological studies, Geological Survey of Canada, Paper 69-2, p. 1-78",GSCdatabase,,,,,,
10 SIS,954,14,14,Ar/Ar,Metamorphic,"Reported as 948 Ma; recalculated to MMhb-1=523.1 (Renne et al, 1998) from MMhb-1=519.4 (Alexander, 1978). Plateau age (86.1% gas release).",Biotite,Ar Furnace-Step,Direct,Grenville Province,NL,53.03425,-66.95241,"Northwest of Luce Lake, Labrador",Gagnon terrane - Shamogamo Intrusive Suite,Metamorphic,"metagabbro, kyanite zone","Dallmeyer, R.D. and Rivers, T., 1983. Recognition of extraneous argon components through incremental-release 40Ar/39Ar analysis of biotite and hornblende across the Grenvillian metamorphic gradient in southwestern Labrador.; Geochimica et Cosmochimica Acta, v. 47, p. 413-428",GSCdatabase,,,,,,
9 KLG,1033,15,15,Ar/Ar,Metamorphic,"Reported as 1027 Ma; recalculated to MMhb-1=523.1 (Renne et al, 1998) from MMhb-1=519.4 (Alexander, 1978). Plateau age (99.0% gas release). Slightly older than apparent age of regional event; excess Ar suspected.",Biotite,Ar Furnace-Step,Estimate,Grenville Province,NL,53.07314,-66.93352,"West of Lorraine Lake, Labrador",Gagnon terrane - Knob Lake Group,Metamorphic,"schist, kyanite zone","Dallmeyer, R.D. and Rivers, T., 1983. Recognition of extraneous argon components through incremental-release 40Ar/39Ar analysis of biotite and hornblende across the Grenvillian metamorphic gradient in southwestern Labrador.; Geochimica et Cosmochimica Acta, v. 47, p. 413-428",GSCdatabase,,,,,,
11 KLG,994,15,15,Ar/Ar,Metamorphic,"Reported as 988 Ma; recalculated to MMhb-1=523.1 (Renne et al, 1998) from MMhb-1=519.4 (Alexander, 1978). Plateau age (88.8% gas release).",Biotite,Ar Furnace-Step,Direct,Grenville Province,NL,53.06591,-66.80851,"1 km east of Wabush Lake, Labrador",Gagnon terrane - Knob Lake Group,Metamorphic,"metasedimentary schist, kyanite zone","Dallmeyer, R.D. and Rivers, T., 1983. Recognition of extraneous argon components through incremental-release 40Ar/39Ar analysis of biotite and hornblende across the Grenvillian metamorphic gradient in southwestern Labrador.; Geochimica et Cosmochimica Acta, v. 47, p. 413-428",GSCdatabase,,,,,,
1A IHR,827,15,15,Ar/Ar,Metamorphic,"Spectra appears to plateau, but age not calculated thus (age is total gas age). Flux monitor unknown; likely requires recalibration.",Biotite,Ar Furnace-Step,Estimate,Grenville Province,NL,48.58333,-58.40833,North of St. George's Bay. Coordinates interpolated from sketch map in report relative to on-line mapping of NGS.,Grenvillian basement (in Humber Zone) - Indian Head Range complex,Metamorphic,gneiss,"Dallmeyer, R.D., 1978. Ar/Ar incremental-release ages of hornblend and biotite from Grenville basement rocks within the Indian Head Range complex, southwest Newfoundland: their bearing on late Proterozoic-early Paleozoic thermal history.; Canadian Journal of Earth Sciences, v. 15, p. 1374-1379",GSCdatabase,,,,,,
1B IHR,835,15,15,Ar/Ar,Metamorphic,"Spectra is very flat, but plateau ages not calculated from the step heating data in this report (age quoted is total gas age). Flux monitor unknown; likely requires recalibration.",Biotite,Ar Furnace-Step,Estimate,Grenville Province,NL,48.58333,-58.40833,North of St. George's Bay. Coordinates interpolated from sketch map in report relative to on-line mapping of NGS.,Grenvillian basement (in Humber Zone) - Indian Head Range complex,Metamorphic,gneiss,"Dallmeyer, R.D., 1978. Ar/Ar incremental-release ages of hornblend and biotite from Grenville basement rocks within the Indian Head Range complex, southwest Newfoundland: their bearing on late Proterozoic-early Paleozoic thermal history.; Canadian Journal of Earth Sciences, v. 15, p. 1374-1379",GSCdatabase,,,,,,
C Charnockite,2652,8,8,Pb/Pb,Metamorphic,"10-pt regression, MSWD=1.44","Biotite, Garnet, K-Feldspar",TIMS,Minimum Estimate,Grenville Province,QC,47.67675,-77.27055,On Hwy 17 between Val D'or and Mont Laurier. Coordinates approximated from small sketch map in report.,Grenville Front Tectonic Zone - X terrane,Metamorphic,Granite gneiss,"Gariepy, C., Verner, D. and Doig, R., 1990. Dating Archean metamorphic minerals southeast of the Grenville Front, western Quebec, using Pb isotopes; Geology, v. 18, p. 1078-1081 OR/OU Philippe, S., Gariepy, C., Doig, R. and Childe, F., 1990. U-Pb geochronology of late Archean monazites south of the Grenville Front, western Quebec; in Abitibi-Grenville Transect, Lithoprobe, Programme et Resumes, 1990, Montreal, not paginated",GSCdatabase,,,,,,
F Mobilizate,2589,19,19,Pb/Pb,Metamorphic,"8-pt regression, MSWD=2.3","Biotite, Garnet, K-Feldspar",TIMS,Minimum Estimate,Grenville Province,QC,47.56869,-77.15192,On Hwy 17 between Val D'or and Mont Laurier. Coordinates approximated from small sketch map in report.,Grenville Front Tectonic Zone - X terrane,Metamorphic,white patch of mobilizate material,"Philippe, S., Gariepy, C., Doig, R. and Childe, F., 1990. U-Pb geochronology of late Archean monazites south of the Grenville Front, western Quebec; in Abitibi-Grenville Transect, Lithoprobe, Programme et Resumes, 1990, Montreal, not paginated OR/OU Gariepy, C., Verner, D. and Doig, R., 1990. Dating Archean metamorphic minerals southeast of the Grenville Front, western Quebec, using Pb isotopes; Geology, v. 18, p. 1078-1081",GSCdatabase,,,,,,
G Pegmatite,2508,25,25,Pb/Pb,Metamorphic,"6-pt regression, MSWD=1.47","Biotite, Garnet, K-Feldspar, Other",TIMS,Minimum Estimate,Grenville Province,QC,47.56869,-77.15192,On Hwy 17 between Val D'or and Mont Laurier. Coordinates approximated from small sketch map in report.,Grenville Front Tectonic Zone - X terrane,Plutonic,pink pegmatite,"Gariepy, C., Verner, D. and Doig, R., 1990. Dating Archean metamorphic minerals southeast of the Grenville Front, western Quebec, using Pb isotopes; Geology, v. 18, p. 1078-1081",GSCdatabase,,,,,,
B Charnockite,2602,23,23,Pb/Pb,Metamorphic,"7-pt regression, MSWD=2.1","Biotite, Garnet, K-Feldspar, Whole Rock",TIMS,Minimum Estimate,Grenville Province,QC,47.73758,-77.29972,On Hwy 17 between Val D'or and Mont Laurier. Coordinates approximated from small sketch map in report.,Grenville Front Tectonic Zone - X terrane,Metamorphic,granite gneiss / charnockite,"Gariepy, C., Verner, D. and Doig, R., 1990. Dating Archean metamorphic minerals southeast of the Grenville Front, western Quebec, using Pb isotopes; Geology, v. 18, p. 1078-1081",GSCdatabase,,,,,,
B1-59-2842,369,16,16,K/Ar,Metamorphic,Reported as 362 Ma; recalibrated to IUGS (1977) decay constants. Impure mix of mafic minerals - method unreliabe,"Biotite, Hornblende",Ar Furnace-Fusion,Estimate,Grenville Province,ON,46.06673,-78.48311,Drillcore (well B1-59) in center of Brent Crater . Coordinates approximate,Central Gneiss Belt - Brent Crater,Metamorphic,thermal aureole of crater,"Hartung, J.B., Dence, M.R. and Adams, J.A.S., 1971. Potassium-argon dating of shock-metamorphosed rocks from the Brent Impact Crater, Ontario, Canada; Journal Of Geophysical Research, v. 76, p. 5437-5448",GSCdatabase,,,,,,
B1-59-2813,344,15,15,K/Ar,Metamorphic,Reported as 301 Ma; recalibrated to IUGS (1977) decay constants. Impure mix of mafic minerals - method unreliable.,"Biotite, Hornblende",Ar Furnace-Fusion,Estimate,Grenville Province,ON,46.06673,-78.48311,Drillcore (well B1-59) in center of Brent Crater . Coordinates approximate,Central Gneiss Belt - Brent Crater,Metamorphic,melt zone rock of crater (suburface),"Hartung, J.B., Dence, M.R. and Adams, J.A.S., 1971. Potassium-argon dating of shock-metamorphosed rocks from the Brent Impact Crater, Ontario, Canada; Journal Of Geophysical Research, v. 76, p. 5437-5448",GSCdatabase,,,,,,
B1-59-2813,307,13,13,K/Ar,Metamorphic,Reported as 301 Ma; recalibrated to IUGS (1977) decay constants. Impure mix of felsic minerals - method unreliable.,Feldspar,Ar Furnace-Fusion,Estimate,Grenville Province,ON,46.06673,-78.48311,Drillcore (well B1-59) in center of Brent Crater . Coordinates approximate,Central Gneiss Belt - Brent Crater,Metamorphic,melt zone rock of crater (suburface),"Hartung, J.B., Dence, M.R. and Adams, J.A.S., 1971. Potassium-argon dating of shock-metamorphosed rocks from the Brent Impact Crater, Ontario, Canada; Journal Of Geophysical Research, v. 76, p. 5437-5448",GSCdatabase,,,,,,
PS88-1,1123,3,3,U/Pb,Metamorphic,"Single fraction, U-isotopes not analyzed, so the age is 207Pb/206Pb age of unknown concordance.",Garnet,TIMS,Estimate,Grenville Province,ON,45.35413,-80.05767,No topographic description.,Mesoproterozoic Composite Arc allochthon - Parry Sound Shear Zone,Metamorphic,"metapelite, sheared to at least amphibolite facies conditions","Tuccillo, M.E., Mezger, K., Essene, E.J. and van der Pluijm, B.A., 1992. Thermobarometry, geochronology and the interpretation of P-T-t data in the Britt domain, Ontario Grenville Orogen, Canada; Journal of Petrology, v. 33, p. 1225-1259",GSCdatabase,,,,,,
SH88-7b,1396,6,6,U/Pb,Metamorphic,"Single discordant fraction (~3% disc), age is 207Pb/206Pb age. Called a ""K-feldspar - Garnet"" age.",Garnet,TIMS,Estimate,Grenville Province,ON,45.52273,-80.35706,No topographic description.,High pressure terranes - Britt domain,Metamorphic,metapelitic gneiss,"Tuccillo, M.E., Mezger, K., Essene, E.J. and van der Pluijm, B.A., 1992. Thermobarometry, geochronology and the interpretation of P-T-t data in the Britt domain, Ontario Grenville Orogen, Canada; Journal of Petrology, v. 33, p. 1225-1259",GSCdatabase,,,,,,
